CDS folder name,Description of the data type,Bioportal search date,Bioportal search terms,Standard term selected,Bioportal link to standard term,Accronym of the corresponding bio-ontology,Version of the corresponding bio-ontology,"Entry by (Name, email)",Comments
screening_questionnaire,Screening questionnaire response,2023/05/22,screening questionnaire survey,Screening Questionnaire,https://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C62696,NCIT,23.04d ,"AI-READI team, bpatel@calmi2.org",
consent_form,Consent form response,2023/05/22,consent form,Consent Form ,https://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C16468,NCIT,23.04d ,"AI-READI team, bpatel@calmi2.org",
demographic_survey,Demographic survey response,2023/05/22,demographic survey questionnaire,demographic survey,https://bioportal.bioontology.org/ontologies/EDDA?p=classes&conceptid=http%3A%2F%2Fontologies.dbmi.pitt.edu%2Fedda%2FStudyDesigns.owl%23demographic_survey,EDDA,2.0,"AI-READI team, bpatel@calmi2.org",
smoking_alcohol_survey,Smoking and Alcohol History survey response,2023/05/22,smoking alcohol survey questionnaire,Smoking Alcohol Survey,NA,NA,NA,"AI-READI team, bpatel@calmi2.org",No relevant term found on Bioportal
general_health_survey,General Health Survey response,2023/05/22,general health survey questionnaire,General Health Survey,https://bioportal.bioontology.org/ontologies/LOINC?p=classes&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2FLNC%2FLP146111-2,LOINC,2022AB,"AI-READI team, bpatel@calmi2.org",
sdsca,Diabetes Self-Care (SDSCA) Questionnaire response,2023/05/22,SDSCA,SDSCA,https://bioportal.bioontology.org/ontologies/ADHER_INTCARE_EN?p=classes&conceptid=http%3A%2F%2Fwww.semanticweb.org%2Fparracarlos%2Fontologies%2F2019%2F3%2Funtitled-ontology-31%23SDSCA,ADHER_INTCARE_EN,English 051319 ,"AI-READI team, bpatel@calmi2.org",Other searches such as “diabetes self-care” did not lead to any relevant results
dietary_questionnaire,Dietary Habits Questionnaire response,2023/05/22,dietary habits questionnaire,Dietary Questionnaire,https://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C19681,NCIT,23.04d ,"AI-READI team, bpatel@calmi2.org",
vision_impairment_questionnaire ,Vision Impairment Questionnaire response,2023/05/22,vision impairment questionnaire survey,Vision Impairment Questionnaire ,NA,NA,NA,"AI-READI team, bpatel@calmi2.org",No relevant term found on Bioportal
center_for_epidemiologic_studies_depression_scale,Center of Epidemiologic Studies Depression Scale Survey  (CES-D 10 Survey) response,2023/05/22,center for epidemiologic studies depression scale survey CES-D,Center for Epidemiologic Studies Depression Scale,,NCIT,23.04d ,"AI-READI team, bpatel@calmi2.org",
diabetes_wellbeing_questionnaire,Problem Areas in Diabetes Questionnaire (PAID-5 Questionnaire) response,2023/05/22,problem diabetes questionnaire,Diabetes wellbeing questionnaire,https://bioportal.bioontology.org/ontologies/SNOMEDCT?p=classes&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2FSNOMEDCT%2F273413007,SNOMEDCT,2022AB,"AI-READI team, bpatel@calmi2.org",
driving_record,Driving Record data,2023/05/22,driving record,Driving Record,NA,NA,NA,"AI-READI team, bpatel@calmi2.org",No relevant term found on Bioportal
vital_signs_measurement,Vitals measurement data,2023/05/22,vital measurement,Vital Signs Measurement,https://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C49672,NCIT,23.04d ,"AI-READI team, bpatel@calmi2.org",
medication_list,Medications List data,2023/05/22,medication list,medication list,https://bioportal.bioontology.org/ontologies/HL7?p=classes&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2FHL7%2FC0746470,HL7,2022AB,"AI-READI team, bpatel@calmi2.org",
best_corrected_visual_acuity,Best Corrected Visual Acuity (BCVA) data,2023/05/22,best corrected visual acuity BCVA,Best corrected visual acuity,https://bioportal.bioontology.org/ontologies/SNOMEDCT?p=classes&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2FSNOMEDCT%2F419775003,SNOMEDCT,2022AB,"AI-READI team, bpatel@calmi2.org",
contrast_sensitivity_test,Letter Contrast Sensitivity test data,2023/05/22,contrast sensitivity test,Contrast sensitivity test,https://bioportal.bioontology.org/ontologies/SNOMEDCT?p=classes&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2FSNOMEDCT%2F410566008,SNOMEDCT,2022AB,"AI-READI team, bpatel@calmi2.org",
montreal_cognitive_assessment,Montreal Cognitive Assessment (MoCA test) data,2023/05/22,montreal cognitive assessment MoCA test,Montreal cognitive assessment,https://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C123667,NCIT,23.04d ,"AI-READI team, bpatel@calmi2.org",
